                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5674,                 4.0947,                 3.4698,                0.31224,                0.12912,                0.06607,                0.02868,                 1.8578,                 3.1519,                 2.7094,             0.00019569,             0.00019569,             0.00019569
                      1,                 1.6651,                 2.8822,                 2.3249,                0.36552,                0.24273,                0.14592,                0.08148,                 1.4956,                 2.3814,                  2.224,              0.0003723,              0.0003723,              0.0003723
                      2,                 1.4299,                 2.4411,                 2.0646,                0.39911,                0.30063,                 0.2053,                0.13084,                  1.241,                 2.0842,                 1.9077,             0.00052951,             0.00052951,             0.00052951
                      3,                 1.2937,                 2.2105,                 1.9208,                0.36657,                 0.3716,                0.26525,                0.17681,                 1.1443,                 1.7894,                  1.798,             0.00050068,             0.00050068,             0.00050068
                      4,                 1.2219,                 2.0357,                 1.8479,                0.41705,                0.40165,                0.30637,                0.20779,                 1.0865,                 1.6594,                 1.7302,             0.00050068,             0.00050068,             0.00050068
                      5,                 1.1525,                 1.8982,                  1.776,                0.41325,                0.38667,                0.31018,                0.21261,                 1.0416,                 1.6119,                 1.6965,             0.00047158,             0.00047158,             0.00047158
                      6,                 1.1065,                 1.8066,                 1.7329,                0.47169,                0.43102,                0.37528,                0.26879,                0.97729,                 1.4277,                  1.588,             0.00044247,             0.00044247,             0.00044247
                      7,                 1.0681,                 1.7207,                  1.691,                 0.5738,                0.41441,                0.38536,                 0.2792,                0.93476,                 1.3888,                 1.5607,             0.00041336,             0.00041336,             0.00041336
                      8,                 1.0259,                  1.659,                 1.6601,                0.63885,                0.39597,                0.38847,                0.28902,                0.92069,                 1.3951,                 1.5242,             0.00038426,             0.00038426,             0.00038426
                      9,                 1.0058,                 1.5914,                 1.6342,                0.60009,                0.47709,                0.44247,                0.33036,                0.87172,                 1.2418,                 1.4816,             0.00035515,             0.00035515,             0.00035515
                     10,                0.92121,                 1.3097,                 1.5834,                0.53776,                0.46774,                0.44389,                0.33309,                0.85626,                 1.2693,                 1.4713,             0.00032605,             0.00032605,             0.00032605
                     11,                0.88838,                 1.2626,                  1.545,                 0.5591,                0.48322,                 0.4776,                0.36461,                0.83745,                 1.1878,                   1.45,             0.00029694,             0.00029694,             0.00029694
                     12,                0.86005,                 1.1907,                 1.5168,                0.63448,                0.48421,                  0.497,                 0.3818,                 0.7948,                 1.1385,                 1.4035,             0.00026783,             0.00026783,             0.00026783
                     13,                0.83387,                 1.1482,                 1.4901,                0.58482,                0.53159,                0.50547,                0.39025,                0.78375,                 1.0969,                 1.4049,             0.00023873,             0.00023873,             0.00023873
                     14,                0.80809,                  1.103,                 1.4587,                0.67918,                0.49088,                0.51106,                0.39601,                0.78407,                 1.0656,                 1.3895,             0.00020962,             0.00020962,             0.00020962
                     15,                0.78463,                 1.0578,                 1.4383,                0.69212,                0.48189,                0.52213,                0.41002,                0.78078,                  1.054,                 1.3709,             0.00018052,             0.00018052,             0.00018052
                     16,                0.76517,                 1.0239,                 1.4135,                0.64083,                0.51025,                0.53063,                0.41892,                0.75457,                 1.0125,                 1.3514,             0.00015141,             0.00015141,             0.00015141
                     17,                 0.7449,                0.97171,                 1.3887,                0.62767,                0.51757,                0.54059,                0.42939,                0.74722,                0.98947,                  1.344,              0.0001223,              0.0001223,              0.0001223
                     18,                0.72339,                0.93513,                 1.3684,                0.65977,                0.52522,                0.55051,                0.43907,                0.73201,                 0.9763,                 1.3282,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     19,                0.70663,                 0.9027,                 1.3524,                0.64334,                0.53583,                0.55131,                0.44317,                0.72083,                0.96472,                 1.3257,             6.4092e-05,             6.4092e-05,             6.4092e-05
